tweet,soft_labels_task1,soft_labels_task2,soft_labels_task3
"@EmotionsDoctor I think it's due to the seemingly patriarchal nature of our society. An average African man sees a woman as less of a human &amp; doesn't feel women deserve their kindness or niceness. However, they tend to be nice or kind to women only when there's something to get from them...","[0.0, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.5]"
The Supreme Court announces that it will hold a special session to decide on the best way to gut Biden's vaccine mandate before it returns to its ongoing business of turning the United States into a patriarchal theocracy,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@KonstantinKisin Then they will change the definition of ""toxic"" to mean abdicating their patriarchal, protector and provider role, and they'll gaslight everyone.","[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.5, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Best wishes to all my sisters making our new roads by walking them, queer roads, trans roads, feminist roads, anti capitalist roads, universal access roads, anti patriarchal roads, anti racist roads and it's funny isn't it how all these roads converge...#nollaignambán","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
#Japan ‘s criminal justice system as barbaric &amp; inhumane as the totalitarian patriarchal theocratic governments in the Middle East https://t.co/5EDdoSjOqB,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
Happened to watch the #ManyavarMoheyAd which is nothing but yet another deliberate attempt by wokes &amp; Left liberals to target Hinduism &amp; show our practices as regressive &amp; patriarchal. (1/3) https://t.co/x4LxAvbQna,"[0.5, 0.5]","[0.5, 0.16666666666666666, 0.3333333333333333, 0.0]","[0.5, 0.0, 0.16666666666666666, 0.0, 0.0, 0.5]"
"@TheKingsCollege hey thanks for the Christmas card but maybe let’s do away with the patriarchal address “Mr. and Mrs. Male Partner Name”. A) I do not have the same last name as my partner, and B) even if I did, I would not be “Mrs. Male Name.”","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.5]"
@B_Fernandes8 I hope you realize now why Cr7 is in the team.You bottled the first free kick and the penalty.Once you have massive experience on your team you give them respect.Men are creatures of order they bow to patriarchy.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
"@Cathy1691 I feel like leaving but at the same time I want to stay, fight &amp; destroy the joint - patriarchy, the LNP, organisations of corruption, hate and greedRemember what we're trying to protect &amp; save - justice, democracy, enviro + climate indigenous cultures, diversity, education...","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
@DrewHolden360 @redsteeze Yeah. A (biologically) white man!This is the perfect embodiment of white privilege AND the patriarchy (But more than anything leftist priviledge),"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
A historian explains the very real threat of white Christian patriarchy in the US and a one-party takeover https://t.co/bjnEhtA7Na,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@ThatManHisManga Depends on the kind of mistake, if they by ""mistake"" add inexistent pronouns, mention the patriarchy, put in a meme that wasn't there etc... Definitely dropping and not looking back.Same if their version is inferior to fan translation.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
"@CarrieCnh12 Or even just... can we get stories about older people in here?One of the things I genuinely loved about the first John Wick was that it was ""grizzled older Keanu story""Why can't we just have ""older female assassin who is fucking sick of the patriarchy"" story?","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"okay wait was it his keychain that said fck the patriarchy? if so, interesting twist lyrically that he can have that perspective/make you think he does and also manipulate, control and ab*se women","[0.0, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.5, 0.6666666666666666, 0.5]"
Looking for participants for my podcast on a zoom discussion 💕 if your interested in talking about how to address the problems with patriarchy and how it plays into generational trauma comment below or message me🧚🏽‍♀️🧿 #podcasts #spirituality https://t.co/si5seds3E0,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]"
@bufferingcast I think you hurt the patriarchy’s feelings… https://t.co/lrG19vZ6PH,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
@savemejebus0 @MarlowNYC their and your inability to comprehend a fairly uncomplicated concept — feminism does NOT equal patriarchy. these morons keep conflating the two. for a woman to receive alimony after a divorce when the entire professional institution is stacked against her achieving anything 1/,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
@nurishtable @JonesHowdareyou But as a gay HIV positive man I know what it is to be treated as a 2nd class citizen as well as any woman. I became aware of the injustice of patriarchy when I was in primary school at a conservative all boys primary school. Please don’t insult me.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.3333333333333333]"
"@ReyzorChaser @SaltDawgShaman @inabodyofadummy @OrwellNGoode Exactly! smh lol And there really should have been *more/only them*, considering they begat all the BS in the first place… all else just got caught up in the circumstances; white supremacy/mediocre white male patriarchy.😏🙄","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
"@onosowobo Absolutely. Women should really not be ""giving"" anything anymore as long as the patriarchy exists.","[0.5, 0.5]","[0.5, 0.3333333333333333, 0.0, 0.16666666666666666]","[0.5, 0.5, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@ThePirateRhona @roguecharley @OaklandInHouse @Sean1980be @GuitarBuckeye @RizzyBeamen @GeorgeTakei Lol. Why would I be 'stumping for the patriarchy'?You're refusal to actually listen to what I,m saying is really telling....","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"understanding of internationalism, of the actuality of entanglement, of the inseparability of economic issues / violence (even in the domestic politics of a US imperial core), ~social~ ones (especially patriarchy and persecution of gender/sexual diversity), and colonialism /","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.0, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
3. Are you superior to us naturally or not? Cus you can’t be held accountable for your own actions but you wanna be in charge of everything. This is y y’all made patriarchy. Becus nobody in their right mind would choose men to make the decisions after seeing them work.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.6666666666666666, 0.0]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0, 0.5]"
"""protect women/children"" in conservative jargon = controlling every aspect about women/children by the patriarchy.""I'm doing it for the good of you"" no thanks, would you kindly fuck off","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.0]","[0.16666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333]"
"@TabitaSurge Ha! My English teacher did similar in year 7 when I commented ""b/c the patriarchy was, still is &amp; always will be, bullshit"" in discussion about Portia/ Merchant of Venice. She loaned me books &amp; it was through her I discovered Wollstonecraft, Dworkin, Butler, Lorde and more...","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]"
@realDailyWire talk about the patriarchy. This term did not come from Latino/a people.,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]"
"@damintoell Why ""the manager"" position is a prime example of the patriarchy, - Elizabeth Warren in the NYT in a month.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
"@jh_swanson The likelihood that all of your ancestors, matrilineal or patrilineal, were converts is almost zero. So, yes, you are indigenous to Judea. I hope that eases your mind!","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0]"
"@harriekd Greek patrilineal naming practices mean I was always going to have the name I did, but there was a question as to what anglicised version to go with, my mum didn’t like Dennis, so Dion it was.","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"On India's patrilineal trap., @Alice_evans ""inspiring"". A terrific event/thanks @Shanta_WB &amp; @CGDev. @modonnell1231 @MeadOver https://t.co/fzvFIBl8bS","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
My grandfather was a cyborg - a man melded into a machine - that killed japs. This is all patrilineal. No cherry picking ancestors.,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
“That proportion seems to have remained remarkably consistent: A 2017 paper studying adoptive heterosexual parents found that they gave a patrilineal surname to their child 96 percent of the time.” https://t.co/cIj9UjTjFH,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
"@danielchaitkin I ask respectfully, and because I’m curious ... in you view, who is a Jew?  Matrilineal, a certain %, Patrilineal?  And is it unconditional, or can it disappear if one does or does not do certain things?","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
@Sleeping_Kat1 @TheMoominmama @elegationvain Sorry but a society can still be matrilineal and patriarcal at the same time. Most of the societies right now are patriarcal AND patrilineal. They're two different concepts. I don't know if those matrilineal societies were matriarcal also :/ it will be interesting to investigate.,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333]"
"@HelenaVera11 ? I don't think I added any distinctive leopard stuff to JC or JYL lol... well I designed JC first, JYL second. Since with Chinese culture, parentage is usually down the patrilineal line, I made JFM the tiger and YZY the leopard.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
https://t.co/qqcQe64wjFread narrative by @Huzaimabukhari in:https://t.co/RcZ4H748nC,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"How would the world be now had patrilineal and patrilocal cultures (India, China, Mongolia, Vietnam, Korea, Japan, the Arab world, Catalonia, Germany, Austria, Serbia, Albania, Bulgaria, Bosnia, Macedonia, most Mesoamerican cultures, most African cultures, etc.) never existed?","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@dawn_wife @ClarusPlusPlus Yeah, my middle names were patrilineal, and I changed to them to be both matrilineal","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]"
"How do you accept the concept of atheist Jews but not patrilineal Jews... Like even if you treat it purely as a matter of blood or ethnicity or whatever bullshit,,, it's literally the same ""amount"" regardless of which parent sjfkkffkgk","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@uncle_deluge Last names in pre-enlightenment society were caste signifiers, today they are mostly irrelevant unless you are descended from an ancient royal bloodline. If you are a man with the last name of a famous aristocrat, it means you are patrilineal you descended from them…","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@RosebellK In a patrilineal society this is akin to kicking the hornet's nest.,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@Reuters What's going on is the patrilineal, Soviet-emplaced regime of Nazarbayev is on its knees because the Kazakh people got fed up with corruption, manipulative democracy, and economic inequality. What happens from here is anybody's guess. God help them.","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@shartnado42069 @hmmmmmmmmmmmn @ebruenig that genetic patrilineal trait 'polititcs' ...,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]"
"Commissioned by none other than Gaius Julius Caesar Augustus after his decisive victory at Actium over Antony and Cleopatra, Virgil’s Aeneid is a patrilineal tale tracing the pedigree of the Italic people from the mythical, stalwart Trojan heroes... https://t.co/viwOe3pXA6","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@jonrey100 @Richard18593976 Correct. The prophesied messiah-king was to be a man, the patrilineal bloodline descendant of David, who would free the Jews from oppression and usher in an era of peace and justice under Davidic kings.Christianity's messiah as divine savior from sin is an very different notion.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Day 233: In @JanelleJenstad contribution to the maternity volume, WT is one of a few plays that voice the fears of the legendary secrecy of the midwife, Leontes being concerned at Paulina's disruption of proper patrilineal inheritance. #DailyWT https://t.co/F2Oqe4re0j","[0.5, 0.5]","[0.5, 0.3333333333333333, 0.0, 0.16666666666666666]","[0.5, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
"@RR_Cotter @PhDVoice @thephdstory @PhDForum For my part, my partner and I just completely renamed our family. He already had a hyphenated name which made all legal docs challenging. Both of our last names were from patrilineal lines so didn’t seem feminist to keep them.","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"wealth independent of that from the groom's family, so that she is not financially dependent on them. However this was due to the patrilocal nature of marriages, where the daughter was expected to leave her own home and lived with the husband's family. Dowry also existed because","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
"@Jinxsaint @DannyBate4 Not sure if I understand your question. What difference? Within Hebrew or between Hebrew and other languages? Could you please clarify?In any case, AFAIK Hebrew speakers were always (until modern times of course) primarily patrilocal.","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@TaniaArline The majority of our evolutionary history was spent practicing hunting&amp;gathering. There is evidence that HG tend to be bilocal/multilocal vs patrilocal. Do you expect the patterns of women's same-sex relationships you describe to have evolved after the agriculture revolution?,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Ọkpọsị are traditionally an acephalous patrilineal, patrilocal Igbo community. They share boundary with Uburu to the West, Ọnịcha Igboeze to the North. Their Eastern neighbours, the Amasịrị and their southern neighbours, the Edda are both matrilineal,","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Another point: Women can legally own land, but are often prevented by their families by reference to patrilocal customs in which women get land access through male relatives. Still, Deng notes women increasingly register urban plots in their name. A trend that may continue. 4/5","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.0, 0.8333333333333334]","[0.16666666666666666, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333]"
"Piquing curiosity!Many societies which I know, have the concept of Kuldevi but, there is no concept of Kuldev. Still, they are #patriarchal although it is logical that patrilineage and patrilocality are the reasons. But again why is it Patrilineal and Patrilocal?(1/4) https://t.co/kcunRCkxpQ","[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]"
"Rachel Dolezal, Elizabeth Warren, Carrie Bourassa, many othersThrough most of early human history, marriage was patrilocal exogamous, and many/most wives actually *were* kidnapped from other tribesSome pining for a real or imagined lineage makes sense","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0]"
"When they say this, they say it in the context of inheritance, this is b’se there’s no word for “heir” in Dinka.“He had no children, only 8 daughters” therefore means he has no heir, not children.In all Patrilineal/patrilocal nations, only sons can be heirs, by and large-1/2 https://t.co/umhow0AhYv","[0.0, 1.0]","[0.0, 0.16666666666666666, 0.0, 0.8333333333333334]","[0.0, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.6666666666666666]"
"An enlightening oped in TOI today. I think even titles like ""Mrs"" are patrilocal labels that diminish women. Marriage should not be linked in anyway to a woman's identity. Also, I have always been against women changing their names or surnames after marriage. https://t.co/EYhIU0rgCE","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333]","[0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.8333333333333334]"
"@radicalanthro No one is denying the existence of matriliny.But patrilocal clans were the dominant mode of social organisation for most of the world for the past 5000 years.And those patrilocal clans - in Europe, South Asia, the Middle East, and East Asia - organised to protect their assets","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.5]","[0.3333333333333333, 0.5, 0.0, 0.0, 0.0, 0.3333333333333333]"
"When women continue to express their complaints or concerns, they get associated with labels such as ‘nagging,’ particularly in the patrilocal households of South Asia.#Bollywood #Sexism #AngryWomen https://t.co/GjR7NRqmlZ","[0.0, 1.0]","[0.0, 0.0, 0.5, 0.5]","[0.0, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.8333333333333334]"
"@lucykpick @AndrewSshi Er, no. The steppe origin of PIE-speaking, patrilocal, patrilineal  invaders is pretty established now. Language is one of the giveaways. I see no reason why folklore shouldn't be just because it's awkward for a 'pots not people' bias https://t.co/CBgIkhwMkL","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@TrackerTrial @theDirtReynolds It’s about a patrilocal society that has been selling women as sexual objects far to long. At least Bill wasn’t assaulting teenagers at his beauty pageants or saying he wanted to f%#k his daughter.,"[0.0, 1.0]","[0.0, 0.0, 0.5, 0.5]","[0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5, 0.16666666666666666]"
"Worldbuilding tip: Where do your characters live after marriage? No, really, this varies by culture. Mother's brother Avunlocal. In a bigger family house. Neolocal, Matrilocal. Patrilocal. This often tells how your larger society organizes itself quickly with no other indicators.","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@WorbsIntoWords @Graebers_Ws @radicalanthro @kalolbaisakhi @shadow_digita @Itmechr3 “Get rid of patrilocal residence” is a pithy phrase, but actually *doing that* is hard and complicated.Someone could accuse you of obfuscating material realities by summing it up so pithily and writing as if it is something an actor like the Chinese state could just…do","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]"
Matrilocal husband? First time hearing this 😂 Googled &amp; it means the groom will stay at the bride’s parents’ house. Opposed the common patrilocal marriage. Anyway 1st ep is already interesting 😀#MyHeroicHusband https://t.co/yJLU0Cymuk,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@Peanut_Poppy ""my maternal uncle will get you!""""your maternal uncle who i reasonably expect to have no part in your upbringing because we live in a patrilocal society that considers married women to no longer be part of their birth family, not your dad?""rolls right off the tongue","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"They ranked 176 countries on a scale of 0 to 16 for what they call the “patrilineal/ fraternal syndrome”. This is a composite of such things as unequal treatment of wom­ en in family law and property rights, early marriage for girls, patrilocal marriage, polygamy, bride price","[0.5, 0.5]","[0.5, 0.0, 0.0, 0.5]","[0.5, 0.5, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
"@Tekla_Too @StevenTrustrum @MurphyYuiko @kim_because @KonstantinusRo1 @james_lovelace @blackishmonday @KitemanArgues @JohnathonDoeman @Oneiorosgrip @HeavenlyPossum @Richard30051 @Arachne646 @BigG17507257 @missmiaow007 @The_Vagitarian @ItIsMutilation @Offical_PMC @DoubleDoubleJon @crimerates_edu @HERterus @manchestermelly @SamsonCorwell @applesa13112866 @ClausonKristy @LisaWinslow @notlloomer80 @MgtowRadical @3EPKAJI0 @th1rt3en_TM @rainmc @numbersdelight @SexDrugnRnR @dadof315 @eccentrikhat &gt;""a patriarchal system and practice""Yes. China was patrilineal and patrilocal. This is what anthropologists call ""patriarchal."" It is a legitimate use of the word.The #feminist use of the word, for an imaginary male tyranny for men's sole benefit at women's expense, isn't. https://t.co/ZF7kXhKnVP","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0]"
"@EmJaRo2 @DrJessTaylor patrilocal communities from matrilocal ones. Women were relegated to the home, kept under lock and key as property, to care for the home and heirs of their “master.” Motherhood would be very different today if circumstances were similar to pre-patriarchal Neolithic societies.","[0.0, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666]","[0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666]"
@GlobalWarningEB @Matthews_angst Ahh… so a new spin on penis envy.,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]"
"@gulovsen You've somehow redefined ""penis envy"". Well done.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.0, 0.0, 0.5, 0.16666666666666666, 0.5]"
@mikelax6 @JimBelushi Best case of penis envy ever,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]"
"@vulgarlasagna Nice. I get mine this week, penis envy and golden teachers 😌","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0]"
"@brave_grapes Blessed? You think you're so damn funny but in reality you have penis envy. Your whole life is consumed by BYU. It's ok to Spate BYU but yours isn't sports hate its Hate Hate, and if your president of MUSS that says a lot  about the U.","[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.3333333333333333]"
"Ladies and gentlemen, don't forget to educate yourselves. If you don't like sexism, you'll hate this 👇🏽""In Stoller’s theory of gender identity, the bisexual mother created a transsexual son to fulfil her penis envy."" More gems inside: https://t.co/62568X3sNm","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.3333333333333333]"
If freud was alive today I would whip it out and show that baby dick bitvh ass what penis envy really is,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]"
"@DavidBe53174057 it's penis envy, tradies' insecurity. utes &amp; bigotry to feel better","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666, 0.5]"
i'm seeing all the three word prompts and it is taking every fiber in my body to not type small penis envy and hit reply,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]"
@cbdguitar @BetteMidler Someone must have a penis envy.,"[0.0, 1.0]","[0.0, 0.5, 0.5, 0.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.3333333333333333, 0.5]"
In Affleck’s Palace and they’re playing Crass over the speakers. The Penis Envy album.,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
